epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0906,2.56846,4.21733,1.88619,0.50871,0.29261,0.3265,0.11255,2.3132,2.40854,1.76087,0.000414326,0.000414326,0.000414326
2,105.735,2.35769,2.31418,1.73526,0.48168,0.34535,0.2806,0.09748,2.42326,2.88392,1.89978,0.000830902,0.000830902,0.000830902
3,156.645,2.35854,2.24117,1.78065,0.41739,0.43952,0.32605,0.10529,2.3546,2.2,1.88491,0.00124712,0.00124712,0.00124712
4,205.025,2.34839,2.15552,1.76059,0.32786,0.49566,0.34064,0.11918,2.28607,2.3341,1.81003,0.00124878,0.00124878,0.00124878
5,251.588,2.27435,2.05443,1.71467,0.46321,0.5447,0.41939,0.14703,2.2594,1.7616,1.8208,0.00124783,0.00124783,0.00124783
6,297.916,2.23987,1.96126,1.67648,0.43893,0.59112,0.44136,0.16185,2.19908,1.78008,1.7514,0.00124661,0.00124661,0.00124661
7,344.184,2.19627,1.92881,1.65106,0.49604,0.59955,0.48604,0.18817,2.12912,1.72611,1.7238,0.00124512,0.00124512,0.00124512
8,390.649,2.15934,1.82468,1.63241,0.53074,0.59311,0.50414,0.1933,2.15239,1.67945,1.70697,0.00124336,0.00124336,0.00124336
9,436.937,2.12465,1.81239,1.60927,0.56149,0.59813,0.53968,0.18568,2.21855,1.66857,1.72925,0.00124134,0.00124134,0.00124134
10,483.135,2.13121,1.73525,1.6117,0.42255,0.56717,0.49125,0.17934,2.15595,1.66422,1.70624,0.00123904,0.00123904,0.00123904
11,529.514,2.10273,1.75764,1.59833,0.52247,0.61898,0.52504,0.20975,2.09293,1.73196,1.63694,0.00123648,0.00123648,0.00123648
12,575.993,2.09044,1.68093,1.59545,0.50572,0.59592,0.52624,0.17109,2.25369,1.7175,1.76693,0.00123365,0.00123365,0.00123365
13,622.36,2.07344,1.66896,1.56884,0.5499,0.60778,0.50511,0.17885,2.20463,1.74997,1.71753,0.00123056,0.00123056,0.00123056
14,668.775,2.05496,1.61951,1.55537,0.58991,0.62238,0.51945,0.1727,2.215,1.70459,1.71913,0.00122721,0.00122721,0.00122721
15,714.947,2.01344,1.58368,1.52627,0.51622,0.60294,0.52047,0.21825,2.07729,1.58459,1.64153,0.00122359,0.00122359,0.00122359
16,761.279,1.99679,1.55234,1.51741,0.53268,0.62051,0.5255,0.20844,2.17594,1.51893,1.69672,0.00121972,0.00121972,0.00121972
17,807.343,1.99476,1.53183,1.51579,0.60438,0.66306,0.59011,0.22997,2.12435,1.48596,1.66141,0.00121558,0.00121558,0.00121558
18,853.555,1.97512,1.49354,1.49727,0.60885,0.61687,0.56243,0.23057,2.11086,1.49615,1.6677,0.00121119,0.00121119,0.00121119
19,899.799,1.96069,1.5,1.49612,0.56648,0.60943,0.54041,0.22248,2.11576,1.4807,1.64562,0.00120655,0.00120655,0.00120655
20,946.055,1.94731,1.48381,1.49209,0.55302,0.6064,0.54836,0.20774,2.14711,1.49039,1.66802,0.00120165,0.00120165,0.00120165
21,992.302,1.93655,1.46768,1.47583,0.57217,0.64373,0.54896,0.2074,2.19072,1.49698,1.68519,0.00119651,0.00119651,0.00119651
22,1038.6,1.9096,1.45515,1.45519,0.5595,0.62804,0.54229,0.21643,2.13326,1.50957,1.66414,0.00119111,0.00119111,0.00119111
23,1084.88,1.89207,1.43805,1.45531,0.5832,0.65132,0.55824,0.22479,2.12099,1.42782,1.66726,0.00118547,0.00118547,0.00118547
24,1131,1.90038,1.39238,1.43986,0.53969,0.63773,0.54311,0.22923,2.05618,1.42513,1.61398,0.00117959,0.00117959,0.00117959
25,1177.17,1.87546,1.3776,1.43433,0.55775,0.63658,0.53265,0.19953,2.17343,1.45885,1.70906,0.00117346,0.00117346,0.00117346
26,1223.36,1.8631,1.37583,1.43766,0.57586,0.65285,0.56859,0.22015,2.14265,1.43768,1.70054,0.0011671,0.0011671,0.0011671
27,1269.65,1.85319,1.36584,1.4307,0.58209,0.63431,0.52671,0.19989,2.14267,1.42268,1.67159,0.00116051,0.00116051,0.00116051
28,1315.9,1.84937,1.34417,1.42616,0.5573,0.65041,0.56962,0.24981,2.05474,1.38204,1.5882,0.00115368,0.00115368,0.00115368
29,1362.16,1.85043,1.34639,1.41372,0.53711,0.62957,0.55256,0.23975,2.10752,1.43113,1.65316,0.00114662,0.00114662,0.00114662
30,1408.45,1.83065,1.32533,1.41869,0.57245,0.63316,0.55097,0.2294,2.12521,1.40261,1.66574,0.00113934,0.00113934,0.00113934
31,1454.49,1.8072,1.3142,1.41154,0.65098,0.63621,0.61727,0.26939,2.06075,1.36289,1.60851,0.00113183,0.00113183,0.00113183
32,1500.75,1.81479,1.32327,1.39934,0.57548,0.60366,0.53725,0.23202,2.11585,1.47273,1.65044,0.0011241,0.0011241,0.0011241
33,1546.84,1.79826,1.27798,1.38467,0.57989,0.68068,0.57952,0.23033,2.11482,1.40099,1.64417,0.00111616,0.00111616,0.00111616
34,1592.9,1.81219,1.31906,1.4023,0.58692,0.64501,0.55418,0.2225,2.13458,1.41262,1.62636,0.00110801,0.00110801,0.00110801
35,1639.03,1.77712,1.26121,1.37451,0.56642,0.61736,0.55055,0.22722,2.08866,1.4013,1.64698,0.00109964,0.00109964,0.00109964
36,1685.25,1.77321,1.25486,1.37085,0.57945,0.62837,0.57842,0.25697,2.03747,1.31713,1.62153,0.00109107,0.00109107,0.00109107
37,1731.28,1.75032,1.26937,1.36689,0.57013,0.6553,0.54773,0.25479,2.02847,1.32728,1.60048,0.0010823,0.0010823,0.0010823
38,1777.7,1.72261,1.21334,1.35358,0.49524,0.58877,0.52917,0.2494,2.00618,1.48667,1.59602,0.00107333,0.00107333,0.00107333
39,1823.97,1.71201,1.2156,1.34798,0.56893,0.64432,0.55682,0.25262,2.05515,1.37634,1.61873,0.00106417,0.00106417,0.00106417
40,1870.47,1.69387,1.1951,1.33262,0.56894,0.63409,0.55621,0.25211,2.08201,1.32115,1.63523,0.00105481,0.00105481,0.00105481
41,1916.67,1.71676,1.2001,1.34722,0.58058,0.65544,0.55614,0.24646,2.05093,1.38102,1.62805,0.00104527,0.00104527,0.00104527
42,1963.07,1.69162,1.19851,1.33179,0.54703,0.62943,0.54374,0.24231,2.07513,1.39523,1.63574,0.00103555,0.00103555,0.00103555
43,2009.44,1.70038,1.1991,1.33488,0.54669,0.64401,0.54679,0.25402,2.05998,1.29562,1.6314,0.00102566,0.00102566,0.00102566
44,2055.72,1.69739,1.18453,1.33974,0.60496,0.65623,0.57273,0.25978,2.0462,1.30514,1.5921,0.00101559,0.00101559,0.00101559
45,2101.71,1.68314,1.18502,1.32329,0.56496,0.65122,0.56299,0.25747,2.05398,1.32964,1.617,0.00100535,0.00100535,0.00100535
46,2147.82,1.68625,1.18225,1.3287,0.56813,0.65833,0.57657,0.26331,2.03534,1.32368,1.6233,0.000994942,0.000994942,0.000994942
47,2194.2,1.66904,1.1589,1.32088,0.56625,0.64385,0.57249,0.26456,2.03709,1.28454,1.61103,0.000984379,0.000984379,0.000984379
48,2240.65,1.67187,1.17415,1.33718,0.54503,0.63391,0.54517,0.26204,2.01534,1.32376,1.61492,0.000973661,0.000973661,0.000973661
49,2286.84,1.63936,1.13294,1.29873,0.56762,0.63241,0.57042,0.27486,2.047,1.29985,1.62692,0.000962793,0.000962793,0.000962793
50,2333.14,1.64596,1.13683,1.31626,0.60354,0.65063,0.57056,0.25971,2.07447,1.29674,1.64069,0.000951779,0.000951779,0.000951779
